abandonar,'f. Ámbito más allá de la muerte'
abecedario,'tr. Hacer relación de un hecho'
abeja,'f. Individuo de la especie humana'
abismal,'tr. Dividir algo en partes o fracciones U. t. c. prnl.'
ablandar,'f. Cualidad de total'
abominable,'f. Izquierda política de ideología extremista'
abrir,'tr. Cantar entre dientes y sin articular palabras'
acceder,'f. Acción y efecto de nadar'
accionar,'adj. No usual infrecuente'
acelerar,"'tr. Arg., Chile  Producir una fisura U. t. c. prnl.'"
aceptar,'m. Esc.  Tendencia a la representación fiel y descarnada de la realidad'
admirar,'f. Existencia de dos caracteres o fenómenos distintos en una misma persona o en un mismo estado de cosas'
admitir,'f. Instrumento rígido y de forma rectangular que sirve para trazar líneas rectas o para medir la distancia entre dos puntos'
adorable,'f. Instrumento compuesto de dos hojas de acero a manera de cuchillas de un solo filo y por lo común con un ojo para meter los dedos al remate de cada mango las cuales pueden girar alrededor de un eje que las traba para cortar al cerrarlas lo que se pone entre ellas U. m. en pl. con el mismo significado que en sing.'
adornar,'adj. Perteneciente o relativo al universo'
afeitar,'adj. Dos veces mayor o que contiene una cantidad dos veces exactamente   U. t. c. s. m.'
afilar,'f. Cualidad de frívolo'
agua,'m. Aguardiente de cerezas'
aguacate,'m. Unidad monetaria del'
alegre,'m. Superior en la jerarquía eclesiástica'
alimentar,'f. Caja para depositar las papeletas o números en los sorteos y en las votaciones secretas'
altura,'f. Entramado de metal madera u otro material que generalmente enmarcado en un hueco permite el paso del aire la luz la voz etc.'
amar,'m. Conjunto de muchas hojas de papel u otro material semejante que encuadernadas forman un volumen'
ambulancia,'f. Breve relato ficticio en prosa o verso con intención didáctica o crítica frecuentemente manifestada en una moraleja final y en el que pueden intervenir personas animales y otros seres animados o inanimados'
amigable,"'m. Inform. Sistema de conexión inalámbrica dentro de un área determinada entre dispositivos electrónicos y frecuentemente para acceso a internet U. t. en apos., y t. c. f.'"
amor,'f. Estado fisiológico que se presenta en ciertos mamíferos como adaptación a condiciones invernales extremas con descenso de la temperatura corporal hasta cerca de ° y disminución general de las funciones metabólicas'
ancla,'intr. Dicho de una embarcación Irse a pique o perderse'
angustia,'f. Adorno de oro plata o platino con perlas o piedras preciosas o sin ellas'
anillo,'m. o f. Masa de agua salada que cubre la mayor parte de la superficie terrestre'
ansiedad,'f. Nombre común de varios mamíferos pinnípedos propios de mares fríos y de peso y talla variables según las especies Son de costumbres acuáticas por lo que sus extremidades tienen forma de aleta y se acercan a la costa para criar'
antena,'adj. Que no se mueve'
anteojo,'tr. Dirigir encaminar doctrinar'
antorcha,'m. Establecimiento destinado al diagnóstico y tratamiento de enfermos donde a menudo se practican la investigación y la docencia'
aplicar,'f. Sólido que tiene por base un polígono cualquiera y cuyas caras tantas en número como los lados de aquel son triángulos que se juntan en un solo punto llamado vértice'
aprender,'m. Acción de dar con violencia un cuerpo contra otro'
aprovechar,'f. Estudio de los fenómenos asociados a los ovnis'
araña,'f. Capacidad y disposición para algo'
archivo,'f. Instrumento de forma cónica con el que se refuerza el sonido emitido muy útil para hablar desde lejos'
arder,'m. pantalón vaquero. U. m. en pl. con el mismo significado que en sing.'
arquitectura,'adj. Fon. Perteneciente o relativo al yeísmo'
arrojar,"'f. Conjunto de platos fuentes vasos tazas etc., que se destinan al servicio de la mesa'"
arroyo,'tr. Hacer flexiones'
arte,'f. Cargo de gerente'
artesanal,'m. Lugar formado artificiosamente por calles y encrucijadas para confundir a quien se adentre en él de modo que no pueda acertar con la salida'
asentir,'intr. Dar hacer o establecer leyes'
asistir,'tr. Hacer que algo ocupe un espacio mayor que el que antes ocupaba U. t. c. prnl.'
atrapar,'adj. Que se puede hacer'
automóvil,'tr. Hacer como de nuevo algo o volverlo a su primer estado U. t. c. prnl.'
avisar,'adj. Que está fuera de regla'
ayudar,"'f. Decimocuarta letra del alfabeto griego Ξ, ξ que corresponde a la  del latino'"
azul,'f. Enfermedad que se propaga durante algún tiempo en una zona y afecta simultáneamente a gran número de personas'
añadir,'m. Viento muy impetuoso y temible que a modo de torbellino gira en grandes círculos cuyo diámetro crece a medida que avanza apartándose de las zonas de calma tropicales donde suele tener origen'
babor,'m. Sistema de representación del paso de los días agrupados en unidades superiores como semanas meses años etc.'
babucha,'f. Conjunto de creencias o dogmas acerca de la divinidad de sentimientos de veneración y temor hacia ella de normas morales para la conducta individual y social y de prácticas rituales principalmente la oración y el sacrificio para darle culto'
bacalao,'intr. Dicho de una persona Vivir después de la muerte de otra o después de un determinado suceso'
bachata,'f. Composición que se canta o hecha a propósito para que se le pueda poner música'
bala,'f. Fruto del nogal Es una drupa ovoide de tres o cuatro centímetros de diámetro con el epicarpio fino y liso de color verde con pintas negruzcas el mesocarpio correoso y caedizo y el endocarpio duro parduzco rugoso y dividido en dos mitades simétricas que encierran la semilla desprovista de albumen y con dos cotiledones gruesos comestibles y muy oleaginosos'
balanza,'tr. Pasar o llevar algo desde un lugar a otro'
bebé,'f. Parte del fruto de las fanerógamas que contiene el embrión de una futura planta protegido por una testa derivada de los tegumentos del primordio seminal'
beca,'tr. Aplicar a alguien o algo aceite u otra materia pingüe extendiéndola superficialmente'
bechamel,'tr. Desatar o desceñir'
belleza,'f. Aro hecho de flores de ramas o de metal que ciñe la cabeza y se usa como adorno insignia honorífica o símbolo de dignidad o realeza'
berberecho,'f. Congregación de los fieles cristianos en virtud del bautismo'
berenjena,'adj. Dicho del arte o de una obra artística Que se caracteriza por reflejar la realidad con deliberada ingenuidad aparentemente infantil y con poesía y simplicidad Apl. al arte u. t. c. s. m.'
beso,'f. Líquido generalmente de color rojo que circula por las arterias y venas del cuerpo de los animales se compone de una parte líquida o plasma y de células en suspensión hematíes leucocitos y plaquetas y cuya función es distribuir oxígeno nutrientes y otras sustancias a las células del organismo y recoger de estas los productos de desecho'
betabel,'m. Quím. Sal resultante de la unión del yodo con un radical simple o compuesto'
bicarbonato,'f. Acción y efecto de vacilar'
bicho,'f. Líquido transparente incoloro inodoro e insípido en estado puro cuyas moléculas están formadas por dos átomos de hidrógeno y uno de oxígeno y que constituye el componente más abundante de la superficie terrestre y el mayoritario de todos los organismos vivos Fórm. 2'
bife,'f. Cualidad de único'
bilirrubina,'f. Acción y efecto de inflar'
bimestre,'tr. Imaginar algo con la fantasía'
bisagra,'m. soliloquio.'
bizcocho,'f. Cada uno de los grupos de origen familiar que existían en algunos pueblos antiguos'
boa,'tr. Afirmar o negar algo poniendo por testigo a Dios o en sí mismo o en sus criaturas'
boceto,'f. Cualidad de rebelde'
bocina,'tr. Señalar por debajo con una raya alguna letra palabra o frase escrita para llamar la atención sobre ella o con cualquier otro fin'
borceguí,'tr. Hacer o poner glosas en algo o sobre algo'
botarate,'f. Conjunto de los huesos de la cabeza mientras permanecen unidos pero despojados de la carne y de la piel'
botella,'f. Ciudad especialmente la muy populosa'
buitre,'intr. Dicho de una persona Estar echada o tendida'
bula,'m. Molusco bivalvo de unos cuatro centímetros de largo y conchas estriadas casi circulares que vive enterrado en la arena y es muy apreciado como comestible'
bulbo,'tr. Estorbar o imposibilitar la ejecución de algo'
bulimia,'tr. Tapar o cerrar una abertura o conducto introduciendo o aplicando un cuerpo'
bullicio,'tr. aceptar recibir voluntariamente'
bulón,'m. Acción y efecto de jugar por entretenimiento'
búho,'m. Cicatriz redonda que queda en medio del vientre después de romperse y secarse el cordón umbilical'
calabaza,'prnl. Engreírse jactarse gloriarse'
calavera,'tr. Alcanzar conseguir y lograr algo que se merece solicita o pretende'
calendario,'adv. quizá.'
camaleón,'tr. Obligarse a hacer decir o dar algo'
camino,'f. Suspensión o indeterminación del ánimo entre dos juicios o dos decisiones o bien acerca de un hecho o una noticia'
canción,'m. Juego entre dos equipos de once jugadores cada uno cuyo objetivo es hacer entrar en la portería contraria un balón que no puede ser tocado con las manos ni con los brazos salvo por el portero en su área de meta'
caoba,'tr. Establecer jalones U. t. en sent. fig.'
carabela,'adj. Que no tiene capacidad o aptitud para algo'
cardo,'tr. Volver a hacer lo que se había hecho o decir lo que se había dicho'
casa,'m. Órgano muscular hueco de las hembras de los mamíferos situado en el interior de la pelvis donde se produce la hemorragia menstrual y se desarrolla el feto hasta el parto'
